"Story","Title","Result","Date","Stability","Duration (s)"
"Test Calculator","Test Plus Operator on Calculator","SUCCESS","2020-04-28T12:18:04.0066097+02:00[Europe/Berlin]","0.0","86.54"
"Is 1 + 1 = 2?","one plus one equal two on calculator?","SUCCESS","2020-04-26T17:35:22.4325105+02:00[Europe/Berlin]","0.0","14.2"
